Symbol	201414878-01	201414879-01	201414880-01	201414881-01	201414882-01	201414883-01
ENSG00000011114.10	2214	1705	944	3303	3547	3053
ENSG00000011132.7	69	39	19	107	140	123
ENSG00000011143.12	339	262	84	359	419	385
ENSG00000011198.3	621	611	212	1158	1408	989
ENSG00000011201.6	4269	3229	1847	5358	6292	5579
ENSG00000011243.13	1876	1365	374	2649	2226	2455
ENSG00000011258.11	1503	1344	598	1597	1542	1644
ENSG00000011260.9	749	668	368	1158	1194	1280
ENSG00000011275.14	2107	1468	724	2742	2693	3192
ENSG00000011295.11	1527	1213	528	2168	2132	2109
ENSG00000011304.12	917	578	255	2637	1972	3071
ENSG00000011332.15	3	2	1	11	11	13
ENSG00000011347.5	5	2	1	1	0	2
ENSG00000011376.5	542	352	112	907	909	932
ENSG00000011405.9	5538	4805	3002	7697	8362	8332
ENSG00000011422.7	415	318	100	733	695	753
ENSG00000011426.6	1788	1750	765	3175	3329	2933
ENSG00000011451.13	176	102	43	427	322	559
ENSG00000011454.12	1832	1404	685	2478	2636	3005
ENSG00000011465.12	23	11	5	72	89	78
ENSG00000011478.7	130	70	15	149	97	110
ENSG00000011485.10	1030	615	179	1414	1153	1542
ENSG00000011523.9	726	501	201	821	875	902
ENSG00000011566.10	3740	2734	1636	5922	6299	5740
ENSG00000011590.9	1	4	0	2	2	0
ENSG00000011600.7	0	0	0	0	0	0
ENSG00000011638.6	189	146	44	391	386	378
ENSG00000011677.8	0	2	0	1	0	1
ENSG00000012048.15	402	448	150	620	686	632
ENSG00000012061.11	696	426	153	1196	986	1127
ENSG00000012124.10	1	0	0	2	0	0
ENSG00000012171.13	1677	760	187	2826	2672	3048
ENSG00000012174.7	574	509	221	979	1337	1231
ENSG00000012211.8	35	31	15	88	64	98
ENSG00000012223.8	1	1	0	2	0	0
ENSG00000012232.4	546	408	188	973	1019	1197
ENSG00000012504.9	0	0	0	2	0	0
ENSG00000012660.9	3254	3294	1634	5084	5545	5588
ENSG00000012779.6	25	12	4	101	62	88
ENSG00000012817.11	158	107	45	256	276	229
ENSG00000012822.11	5458	3639	1407	6699	6919	6948
ENSG00000012963.9	757	707	310	1002	1096	1092
ENSG00000012983.7	8385	6846	3803	10887	10149	11405
ENSG00000013016.10	596	459	188	1053	1081	1209
ENSG00000013275.3	1176	718	261	1587	1860	1711
ENSG00000013288.4	1558	1079	614	2707	2257	3636
ENSG00000013293.5	1	0	1	1	0	0
ENSG00000013297.6	32	30	18	65	55	61
ENSG00000013306.11	321	112	29	599	618	678
ENSG00000013364.14	1201	703	180	2912	2911	2968
ENSG00000013374.11	4113	2876	1230	5013	4317	5049
ENSG00000013375.11	2945	2390	1243	3543	4186	3371
ENSG00000013392.6	369	382	222	612	583	661
ENSG00000013441.11	5894	5267	2540	7277	7661	7139
ENSG00000013503.5	302	305	121	792	852	875
ENSG00000013523.5	193	121	39	362	421	368
ENSG00000013561.13	2106	1946	1018	2938	4057	3221
ENSG00000013563.9	972	632	210	1085	1121	1025
ENSG00000013573.12	272	201	68	534	492	598
ENSG00000013583.4	159	87	75	369	419	437
ENSG00000013588.5	1447	707	434	2346	2581	2863
ENSG00000013619.9	101	48	16	522	556	542
ENSG00000013725.10	0	1	0	3	0	0
ENSG00000013810.14	79	42	9	224	135	357
ENSG00000014123.9	2967	2824	1381	4120	4563	4273
ENSG00000014138.4	135	108	39	201	197	171
ENSG00000014164.6	28	9	5	91	68	117
ENSG00000014216.11	639	291	76	1184	998	1503
ENSG00000014257.11	5	1	3	4	1	2
ENSG00000014641.13	1543	1346	483	1998	2618	2001
ENSG00000014824.9	6147	5275	2778	6378	7692	6420
ENSG00000014914.15	238	154	58	287	323	419
ENSG00000014919.8	869	627	316	951	1126	1134
ENSG00000015133.14	492	591	563	643	662	1021
ENSG00000015153.10	559	434	206	857	1104	867
ENSG00000015171.14	7274	5777	2391	8190	8748	8384
ENSG00000015285.6	4	3	0	1	2	0
ENSG00000015413.5	0	1	0	1	0	0
ENSG00000015475.14	149	139	55	327	378	302
ENSG00000015479.13	21773	18789	8398	23738	24998	24080
ENSG00000015520.10	1	2	0	8	0	0
ENSG00000015532.5	722	440	146	1166	1187	1234
ENSG00000015568.8	59	143	218	109	203	202
